전년 응시자수,올해 응시자수,전년난이도,Top강사여부,ebs 수강후기 수,오르비 게시글수
584609,551108,1,1,2313,2509
584609,551108,1,1,1084,790
584609,551108,1,1,1011,1110
568430,547992,2,0,3957,1153
568430,547992,2,1,9752,6503
568430,547992,2,1,2344,994
391430,345448,2,1,3994,958
156702,179147,1,0,829,257
391430,345448,2,0,3993,866
156702,179147,1,0,738,471
37254,552297,2,1,1383,1029
173687,168253,4,1,1600,468
45250,37380,3,0,251,231
93902,82532,2,1,1890,323
31827,29793,4,0,368,860
164273,161508,3,1,1016,522
28694,28497,1,1,1298,191
7304,6731,2,0,59,159
22283,22196,3,1,245,633
39958,42455,2,1,1414,181
50377,56396,3,1,680,307
123126,119758,3,1,1870,399
142978,147170,4,1,3159,149
103518,133292,3,1,2438,462
3479,2902,2,1,536,107
3936,3603,3,1,182,119
23405,14283,2,1,1040,73
10443,10084,1,1,466,145
6378,5987,3,0,91,104
4318,3982,4,0,77,68
584609,551108,1,1,683,600
568430,547992,2,1,2126,600
156702,179147,1,0,399,369
391430,345448,2,0,930,506
173687,168253,4,1,251,211
45250,37380,3,1,81,83
93902,82532,2,1,396,72
31827,29793,4,0,165,30
164273,161508,3,1,277,116
28694,28497,1,1,232,79
7304,6731,2,0,12,341
22283,22196,2,1,86,242
39958,42455,2,0,333,52
50377,56396,3,1,187,157
123126,119758,3,1,330,152
142978,147170,4,1,435,128
103518,133292,3,1,253,148
3479,2902,2,1,46,123
3936,3603,3,1,32,92
23405,14283,2,1,149,97
10443,10084,1,1,103,34
584609,551108,1,0,31,586
568430,547992,2,0,38,572
156702,179147,1,0,28,22
391430,345448,2,1,100,34
173687,168253,4,0,61,17
37254,552297,2,0,23,180
93902,82532,2,1,36,32
164273,161508,3,0,36,30
50377,56396,3,1,27,16
123126,119758,3,1,35,19
142978,147170,4,0,51,10
103518,133292,3,1,18,86
584609,551108,1,0,0,0
584609,551108,1,0,0,0
584609,551108,1,0,0,0
584609,551108,1,0,0,0
568430,547992,2,0,0,0
568430,547992,2,0,0,0
156702,179147,1,0,0,0
391430,345448,2,0,56,0
173687,168253,4,0,0,0
45250,37380,3,0,0,0
93902,82532,2,0,0,0
164273,161508,3,0,0,0
28694,28497,1,0,0,0
50377,56396,3,0,0,0
123126,119758,3,0,0,0
142978,147170,4,0,0,0
103518,133292,3,0,0,0
584609,551108,1,0,33,0
568430,547992,2,0,121,0
156702,179147,1,0,18,0
391430,345448,2,1,56,0
173687,168253,4,0,20,0
164273,161508,3,1,24,0
123126,119758,3,0,25,0
142978,147170,4,1,21,0
